Market Year,Area Harvested,Domestic Consumption,Yield,Anual Rain Fall,Exports,Imports,Production,Beginning Stocks
1960,13380,14218,1,1275.4,0,4398,10320,2400
1962,13570,14822,1,1131.9,0,3546,12076,2800
1963,13590,16054,1,1312.3,0,4275,10779,3600
1964,13499,16531,1,1376.9,0,5977,9854,2600
1965,13422,18115,1,1154.8,0,7157,12258,1900
1966,12572,19324,1,1399.2,0,8030,10394,3200
1967,12838,17786,1,1198,0,6393,11393,2300
1968,14998,19294,1,1220.9,1,4355,16540,2300
1969,15958,21725,1,1244.4,14,3188,18651,3900
1970,16626,22007,1,947.4,13,2927,20093,4000
1971,18241,23576,1,1058,5,1749,23832,5000
1972,19139,28245,1,1154,667,502,26410,7000
1973,19463,30178,1,1059.3,0,3243,24735,5000
1974,18583,27048,1,1147.8,0,4970,21778,2800
1975,18010,27004,1,1255,0,6900,24104,2500
1976,20454,28412,1,1216.9,0,5066,28846,6500
1977,20922,30772,1,947.1,536,298,29010,12000
1978,21456,33685,1,1219.5,614,50,31749,10000
1979,22641,36027,2,1055.3,481,0,35508,7500
1980,22172,34325,1,1294.8,55,50,31830,6500
1981,22279,36313,2,1131.6,0,2000,36313,4000
1982,22144,37838,2,1269.7,100,2486,37452,6000
1983,23567,42029,2,1237.2,35,3270,42794,8000
1984,24672,43076,2,1030.2,100,700,45476,12000
1985,23564,43719,2,1182.3,400,50,44069,15000
1986,22997,45567,2,1170.7,500,15,47052,15000
1987,23131,56492,2,1084.4,500,10,44323,16000
1988,23063,48929,2,1320.9,20,2100,46169,3341
1989,24109,53201,2,1160.8,20,100,54110,2661
1990,23502,47595,2,1144.9,200,100,49850,3650
1991,24167,58009,2,1137.6,680,100,55134,5805
1992,23260,57515,2,1088.9,50,2500,55690,2350
1993,24589,53377,2,1342.1,28,500,57210,2975
1994,25100,58330,2,1127.4,100,30,59840,7280
1995,25600,64978,3,1401.4,1500,50,65470,8720
1996,25011,66064,2,1170.2,2000,1445,62097,7762
1997,25887,69246,3,1102.7,0,1731,69350,3240
1998,26696,63707,2,1207.8,0,2203,66350,5075
1999,27523,69301,3,1295.3,200,1372,71288,9921
2000,27486,66821,3,1242.4,1569,441,76369,13080
2001,25731,65126,3,1182.9,3087,32,69681,21500
2002,26345,75250,3,1183.1,4850,34,72766,23000
2003,25196,68919,3,1208.8,5650,8,65761,15700
2004,26595,72844,3,1116.6,2120,8,72156,6900
2005,26383,69977,3,1035.4,801,41,68637,4100
2006,26484,73482,3,1105.2,94,6721,69355,2000
2007,27995,76420,3,981.9,49,1962,75807,4500
2008,28039,70924,3,1243.6,23,7,78570,5800
2009,27752,78149,3,1080.5,58,218,80679,13430
2010,28457,81764,3,1208.3,72,272,80804,16120
2011,29069,81408,3,1161.6,891,15,86874,15360
2012,29865,83824,3,1179.3,6824,16,94882,19950
2013,30003,93848,3,1118,6053,25,93506,24200
2014,30473,93102,3,953.7,3409,51,95850,17830
2015,31470,88551,3,1215.5,1130,471,86530,17220
2016,30220,97120,3,1116.3,516,5896,87000,14540
2017,30600,100000,3,1054.7,500,3000,98380,9800
